x,y,v
-3.3171117,22.0810755,7.7855367
-3.1455540,21.9782914,7.8393971
-2.9742401,21.8750897,7.8927487
-2.8031782,21.7714747,7.9455266
-2.6323667,21.6674446,7.9973657
-2.4618087,21.5630003,8.0487248
-2.2915096,21.4581438,8.0995246
-2.1214582,21.3528667,8.1494555
-1.9516705,21.2471772,8.1989312
-1.7821485,21.1410747,8.2478602
-1.6128737,21.0345456,8.2959806
-1.4438735,20.9276049,8.3436671
-1.2751452,20.8202487,8.3908184
-1.1066677,20.7124610,8.4372108
-0.9384746,20.6042607,8.4831850
-0.7705573,20.4956396,8.5286328
-0.6028988,20.3865837,8.5733586
-0.4355315,20.2771111,8.6176788
-0.2684464,20.1672128,8.6614801
-0.1016290,20.0568760,8.7045894
0.0648898,19.9461174,8.7473035
0.2311190,19.8349274,8.7895064
0.3970704,19.7232943,8.8310411
0.5627155,19.6112333,8.8721892
0.7280626,19.4987344,8.9128336
0.8931209,19.3857870,8.9528279
1.0578643,19.2724044,8.9924424
1.2223005,19.1585768,9.0315605
1.3864357,19.0442948,9.0700416
1.5502472,18.9295691,9.1081482
1.7137409,18.8143906,9.1457652
1.8769205,18.6987511,9.1827540
2.0397668,18.5826586,9.2193721
2.2022840,18.4661046,9.2555067
2.3644724,18.3490826,9.2910179
2.5263176,18.2315972,9.3261611
2.6878212,18.1136408,9.3608260
2.8489801,17.9952091,9.3948693
3.0097851,17.8763025,9.4285460
3.1702352,17.7569148,9.4617484
3.3303233,17.6370442,9.4943281
3.4900460,17.5166861,9.5265413
3.6493997,17.3958359,9.5582825
3.8083722,17.2744952,9.5893967
3.9669672,17.1526532,9.6201427
4.1251779,17.0303073,9.6504153
4.2829867,16.9074628,9.6800526
4.4404050,16.7841024,9.7093168
4.5974225,16.6602251,9.7381014
4.7540154,16.5358408,9.7662380
4.9102035,16.4109245,9.7939952
5.0659726,16.2854775,9.8212629
5.2212934,16.1595138,9.8478765
5.3761929,16.0330017,9.8741135
5.5306520,15.9059425,9.8998631
5.6846236,15.7783554,9.9249952
5.8381609,15.6501888,9.9497867
5.9912403,15.5214607,9.9741387
6.1438176,15.3922091,9.9980076
6.2959590,15.2623748,10.0216366
6.4476248,15.1319890,10.0449668
6.5987840,15.0010789,10.0680606
6.7495017,14.8695910,10.0910587
6.8997369,14.7375661,10.1139587
7.0494735,14.6050260,10.1368315
7.1987727,14.4719259,10.1597062
7.3475913,14.3383147,10.1826050
7.4959293,14.2042046,10.2055558
7.6438401,14.0695597,10.2285425
7.7912775,13.9344353,10.2515914
7.9382573,13.7988305,10.2746976
8.0848224,13.6627191,10.2978407
8.2309237,13.5261603,10.3210427
8.3765917,13.3891394,10.3442867
8.5218575,13.2516404,10.3675592
8.6666708,13.1137244,10.3908782
8.8110744,12.9753642,10.4142252
8.9550881,12.8365540,10.4375933
9.0986624,12.6973544,10.4609981
9.2418491,12.5577288,10.4844221
9.3846577,12.4176808,10.5078625
9.5270429,12.2772678,10.5313338
9.6690603,12.1364483,10.5548190
9.8107073,11.9952374,10.5783192
9.9519579,11.8536744,10.6018446
10.0928540,11.7117300,10.6253817
10.2333890,11.5694239,10.6489335
10.3735550,11.4267770,10.6725061
10.5133785,11.2837751,10.6960893
10.6528534,11.1404374,10.7196876
10.7919837,10.9967725,10.7433037
10.9307836,10.8527785,10.7669298
11.0692509,10.7084705,10.7905721
11.2073948,10.5638518,10.8142302
11.3452207,10.4189291,10.8378984
11.4827334,10.2737103,10.8615847
11.6199406,10.1282001,10.8852858
11.7568426,9.9824103,10.9089976
11.8934545,9.8363388,10.9327303
12.0297808,9.6900001,10.9564772
12.1658178,9.5434130,10.9802358
12.3015945,9.3965558,11.0040194
12.4370903,9.2494559,11.0278161
12.5723106,9.1021158,11.0516256
12.7072812,8.9545190,11.0754601
12.8419851,8.8066954,11.0993069
12.9764334,8.6586445,11.1231688
13.1106428,8.5103596,11.1470557
13.2446036,8.3618633,11.1709563
13.3783283,8.2131542,11.1948760
13.5118271,8.0642328,11.2188226
13.6450965,7.9151161,11.2427854
13.7781493,7.7658025,11.2667735
13.9109918,7.6162980,11.2907924
14.0436251,7.4666149,11.3148311
14.1760617,7.3167530,11.3389047
14.3083063,7.1667212,11.3630134
14.4403636,7.0165288,11.3871467
14.5722451,6.8661776,11.4113266
14.7039555,6.7156780,11.4355445
14.8355027,6.5650371,11.4597908
14.9668963,6.4142600,11.4840937
15.0981430,6.2633564,11.5084316
15.2292524,6.1123323,11.5327983
15.3602319,5.9611970,11.5572200
15.4910912,5.8099573,11.5816645
15.6218403,5.6586194,11.6061320
15.7524842,5.5071960,11.6306271
15.8830356,5.3556898,11.6551257
16.0135032,5.2041085,11.6796276
16.1438904,5.0524653,11.7041114
16.2742112,4.9007597,11.7285764
16.4044717,4.7490007,11.7530127
16.5346747,4.5972001,11.7773964
16.6648351,4.4453552,11.8017507
16.7949559,4.2934778,11.8260604
16.9250426,4.1415777,11.8503407
17.0551127,3.9896533,11.8745911
17.1851695,3.8377235,11.8987722
17.3152293,3.6857998,11.9224723
17.4453202,3.5338903,11.9457895
17.5754558,3.3820314,11.9682100
17.7056748,3.2302424,11.9895955
17.8360198,3.0785488,12.0101468
17.9665154,2.9270056,12.0285262
18.0972184,2.7756370,12.0451180
18.2281915,2.6244739,12.0602084
18.3594546,2.4736042,12.0714620
18.4910910,2.3230371,12.0806337
18.6231444,2.1728218,12.0875730
18.7556360,2.0230263,12.0904684
18.8886314,1.8736564,12.0915831
